docking_score,smile
-6.2,COC(=O)[C@H]1[C@H]2CC[C@@H](C[C@H]1OC(=O)c1ccccc1)N2C
-5.8,O=C(O)c1cccnc1Nc1cccc(Cl)c1Cl
-4.9,COc1ccc(/C(C)=C\C(=O)O)c(OC)c1
-6.5,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(c1ccccc1)c1ccccc1)C2
-6.3,CC(=O)Oc1ccc2c(c1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21
-4.9,CCOc1cc(NC(C)=O)ccc1C(=O)OC
-7.1,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
-5.4,CCOC(=O)C1(c2cccc(O)c2)CCN(C)CC1
-5.5,Cn1cc2c(cccc2NC2=NCCN2)n1
-6.4,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O
-5.9,CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1
-6.3,O=[N+]([O-])c1ccc(-c2nc3ccccc3c(N(CCO)CCO)n2)o1
-6.2,O=[N+]([O-])c1ccc(S(=O)(=O)/N=c2/cccc[nH]2)cc1
-5.8,O=C(Nc1ccc(O)cc1)c1ccccc1O
-5.1,CC(=O)Nc1ccc(OC(=O)c2cccs2)cc1
-6.1,NNc1nnc(Cc2ccncc2)c2ccccc21
-5.3,CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1
-4.9,CCc1ncnc2cc(OC)c(OC)cc21
-6.1,CN1C(=O)CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
-5.1,c1csc(C2(N3CCCCC3)CCCCC2)c1
-5.4,Cc1cccc(C)c1NC1=NCCCS1
-6.1,CCOc1ccccc1O[C@H](c1ccccc1)[C@@H]1CNCCO1
-6.3,CCOc1ccccc1O[C@@H](c1ccccc1)[C@H]1CNCCO1
-5.7,O=c1[nH]c2sccc2c2ccccc12
-6.4,Nc1nc2c(cnn2Cc2ccccc2F)c(-c2ccco2)n1
-6.3,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
-4.9,COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl
-5.3,Nc1ncnc2c1ncn2[C@H]1O[C@@H](CO)C[C@H]1F
-5.5,CCOC(=O)CC(=O)N1CCS[C@H]1COc1ccccc1OC
-5.2,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C
-6.5,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
-5.5,CCCC(=O)O[C@@H]1C[C@@H](n2cc(C)c(=O)[nH]c2=O)O[C@H]1CO
-5.7,Nc1ccc(C(=O)N2C[C@@H]3C[C@@H](CN(Cc4ccccc4)C3)C2)cc1
-6.0,CCC[C@@H]1C(=O)N2c3cc(C)ccc3N=C(N(C)C)N2C1=O
-5.2,Cn1cc([S@@](C)=O)c(=O)c2ccc(F)cc21
-5.4,Nc1c2ccc(Cl)cc2nc2c1CCCC2
-5.1,S=C(NCCc1ccccn1)Nc1ccc(Br)cn1
-6.0,O=S(=O)(c1cccc2cnccc21)N1CCCNCC1
-7.0,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
-5.9,O=C1[C@@H](CSCc2ccccc2)NC(=S)N1c1ccccc1
-5.4,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1N
-6.6,Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1
-5.0,Cc1sc(N)nc1-c1ccc(Cl)cc1
-5.2,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1
-5.9,N#C[C@H]1C=Cc2ccccc2N1C(=O)/C=C/c1ccccc1
-6.3,Cc1ccc(S(=O)(=O)Nc2cc(C)c(O)c(C)c2)cc1
-6.3,Cc1ccc(S(=O)(=O)c2nc(c3ccccc3)oc2N(C)C)cc1
-5.4,O=S(=O)(c1ccc(Cl)cc1)N1CCC[C@H]1c1cccs1
-6.3,O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1
-6.2,O=c1cc(N2CCOCC2)oc2c3ccccc3ccc12
-6.2,Oc1ccc(NC2Cc3ccccc3C2)cc1
-6.1,O=Cc1c(O)cccc1OCc1ccc(C(=O)O)cc1
-4.9,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
-5.9,COc1ccccc1NC(=O)c1ccc(C(C)(C)C)cc1
-5.9,COc1cccc(NC(=O)c2ccc(C(C)(C)C)cc2)c1
-5.4,CCN(CC)c1nc2ccccc2n2cnnc12
-4.8,C[N+](C)(C)CCCC(=O)c1ccc(C(=O)CCC[N+](C)(C)C)cc1
-5.0,Cc1sc(-c2ccc(Cl)cc2)nc1O
-5.5,CCN1c2ncccc2NC(=O)c2cc(Br)cnc21
-5.7,CN1CC[C@@H]2CN3CCc4cccc(c43)[C@@H]2C1
-5.1,Nc1ccc2oc(=O)ccc2c1I
-6.1,CN1C(=O)N(c2ccccc2)C2(CCNCC2)C1=O
-5.2,CCN(CC)CC(=O)Nc1c(C)cccc1C
-6.1,NS(=O)(=O)c1cc([C@]2(O)NC(=O)c3ccccc32)ccc1Cl
-7.4,CC(=CCc1c(O)cc(O)c2c(=O)cc(c3ccc(O)cc3)oc12)C
-6.3,CC(=O)Oc1ccccc1C(=O)Oc1cccc(CO[N+](=O)[O-])c1
-5.6,CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1
-6.2,O=C1NC(=O)c2ccc(Cl)c3cccc1c32
-5.5,CC(C)(C)NC(=O)c1ccc2ccccc2c1
-5.8,Nc1nc2c(ncn2[C@@H]2CC[C@H](CO)O2)c(=O)[nH]1
-5.8,c1ccc(CSc2ncnc3ccccc32)nc1
-6.4,c1ccc2[nH]c(CSc3ncnc4ccccc34)nc2c1
-5.9,c1nn2cc(-c3ccncc3)cnc2c1-c1cccnc1
-5.2,CCOC(=O)Cn1nc(C(F)(F)F)c(Br)c1C
-5.8,O=C([C@@H]1CC12CCC2)N1CCc2ccccc21
-6.9,O=C1c2ccccc2C(=O)N1CSc1nc2ccccc2s1
-6.9,CC(=O)N1c2ccccc2[C@H](Nc2ccccc2)C[C@H]1C
-6.6,CC(=O)N1c2ccccc2[C@@H](Nc2ccccc2)C[C@@H]1C
-7.2,Cc1ccccc1N[C@H]1C[C@@H](C)Nc2c(C)cccc12
-6.5,O=C1OC(=N/C/1=C\c1ccccc1)c1ccc(Cl)c([N+](=O)[O-])c1
-5.3,CN1C(=O)C[C@H]2C[C@]1(C)Oc1ccccc12
-7.4,O=C1OC(=N/C/1=C/c1ccc2ccccc2c1)c1ccccc1Cl
-6.1,CC(C)(C)c1ccc(C2=N/C(=C/c3cccs3)/C(=O)O2)cc1
-6.7,O=C(O)[C@@H](Cc1ccccc1)N1C(=O)c2ccccc2C1=O
-5.9,Cc1ccccc1C[N+](C)(C)CCC(=O)c1ccccc1
-5.9,CCc1ccc([C@H](C)NC(=O)/C=C/c2ccc(OC)cc2)cc1
-6.7,O=C(Nc1ccccc1)Nc1ccccc1NC(=O)Nc1ccccc1
-6.8,O=C1N[C@@H](SCc2ccc(Cl)cc2)Nc2ccccc12
-6.8,O=C1N[C@H](SCc2ccc(Cl)cc2)Nc2ccccc12
-7.0,O=C(Cc1ccccc1)Nc1cccc(C(=O)Nc2nccs2)c1
-5.5,CCN(CC)c1ccc(Nc2cc(=O)[nH]c(=O)[nH]2)cc1
-6.8,O=C(Nc1cc([N+](=O)[O-])cc2c1C=Cc1ccccc1O2)c1ccco1
-6.1,Cc1[nH]c2c(c1CCNC(=O)c1ccnn1C)c(F)ccc2C
-6.6,COc1ccccc1C(=O)NCCc1c(C)[nH]c2c1c(F)ccc2C
-6.9,Cc1cc(C)n(c2ccc(Cl)c(C(=O)OCc3ccccc3)c2)n1
-6.4,CC(=O)Cn1c2ccccc2nc1SCCc1ccccc1
-5.5,CC(=O)CCn1c2ccccc2nc1SC1CCCCC1
-6.6,Cc1ccc(C(=O)Nc2sc3c(c2C(=O)N)CCCCC3)cc1C
-4.9,C[C@@H]1CCCCN1C(=O)c1cccs1
-5.3,O=C(NC[C@@H]1CCCO1)c1ccccc1Cl
-6.0,COc1ccc(CNC(=O)c2ccccc2Br)cc1
-5.3,CC[C@@H](C)NC(=O)Cc1ccc(OC)cc1
-5.3,COc1ccc(CC(=O)N2CCC[C@@H](C)C2)cc1
-5.0,CCN(Cc1ccccc1)C(=O)c1cccs1
-5.7,O=C(c1cccs1)N1CCN(c2ccc(F)cc2)CC1
-5.4,C[C@@H](NC(=O)c1cccs1)c1ccccc1
-5.3,O=S(=O)(NC[C@@H]1CCCO1)c1ccccc1
-5.3,CCN(C1CCCCC1)S(=O)(=O)c1ccc(C)cc1
-6.2,COc1ccccc1N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1
-4.7,COc1ccc(S(=O)(=O)N(CCO)C2CCCCC2)cc1
-5.9,CCN(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1
-4.9,COc1ccc(S(=O)(=O)NC(C)(C)C)cc1
-5.7,O=C(c1cccnc1)N1CCc2ccccc21
-5.9,COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1
-6.1,COc1ccc(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cc1
-6.0,Cc1cc(C)c(S(=O)(=O)NCc2ccncc2)c(C)c1
-7.4,Cc1cccnc1NC(=O)c1cccc(C(=O)Nc2ncccc2C)c1
-5.4,O=S(=O)(Nc1ccncc1)c1ccccc1
-5.6,COC(=O)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1
-5.9,Cc1cccnc1NS(=O)(=O)c1cc(Cl)ccc1Cl
-6.0,CC(=O)Nc1cccc(NC(=O)c2cccc(Cl)c2)c1
-5.2,CCN(C(=O)c1ccccc1F)c1ccccc1
-5.2,O=C(c1ccc(F)cc1)N1CCCCCC1
-5.8,CCc1ccccc1NC(=O)c1ccc(F)cc1
-5.6,COC(=O)c1ccc(C(=O)OC)c(NC(=O)C(C)C)c1
-5.0,CCOC(=O)c1ccccc1NC(=O)C(C)C
-4.9,C[C@@H]1CCCCN1S(=O)(=O)Cc1ccccc1
-5.8,Cc1ccc(C(=O)Nc2ccccn2)cc1C
-5.3,CCOc1ccc(C(=O)N2CCC[C@@H](C)C2)cc1
-5.5,CCOc1ccc(C(=O)Nc2ccccc2OC)cc1
-5.3,Cc1cc(C)cc(NC(=O)c2ccco2)c1
-5.6,COc1cccc(C(=O)N2CCC[C@H](C)C2)c1
-6.0,CC(=O)Nc1ccc(C(=O)N(C)c2ccccc2)cc1
-6.1,CCOC(=O)c1ccc(NC(=O)c2ccc(NC(C)=O)cc2)cc1
-5.6,CC(=O)Nc1ccc(C(=O)NC2CCCCCC2)cc1
-5.7,CC(=O)Nc1ccc(C(=O)NCc2cccnc2)cc1
-5.6,CC(=O)Nc1ccc(C(=O)Nc2cccnc2)cc1
-6.0,CC(=O)Oc1ccccc1C(=O)n1cnc2ccccc21
-5.5,C[C@H]1CN(C(=O)c2cc(Cl)ccc2Cl)C[C@H](C)O1
-5.9,COc1ccccc1CC(=O)Nc1cccc(C)c1C
-5.4,CC[C@H](C)NC(=O)c1ccc2c(c1)OCO2
-5.7,COc1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1
-5.3,CCOc1cc(C(=O)NC[C@H]2CCCO2)cc(OCC)c1OCC
-6.1,CCN(Cc1ccccc1)C(=O)c1cc(OC)c(OC)c(OC)c1
-6.1,COc1cc(C(=O)N(C)Cc2ccccc2)cc(OC)c1OC
-6.6,COc1cccc(NC(=O)C2c3ccccc3Oc3ccccc23)c1
-6.9,Cc1ccnc(NC(=O)C2c3ccccc3Oc3ccccc23)c1
-5.3,O=C(NC1CCCCCC1)N1CCOCC1
-5.7,COc1ccc(C(=O)Nc2ccc(C)cn2)cc1OC
-5.9,Cc1ccc(NC(=O)c2ccc3c(c2)OCO3)nc1
-5.7,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cn2)cc1
-6.2,COc1ccccc1CC(=O)Nc1ccc(C(N)=O)cc1
-6.6,CC(=O)Nc1ccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1
-5.0,CCC[C@@H](C)NC(=O)c1ccccc1Cl
-5.3,CCC[C@H](C)NC(=O)c1ccc(NC(C)=O)cc1
-5.5,CC(C)CCNC(=O)c1ccccc1Cl
-5.7,COC(=O)c1ccc(C(=O)OC)c(NC(=O)COc2ccccc2)c1
-6.1,CC(C)CC(=O)Nc1ccccc1C(F)(F)F
-5.4,O=C(Cc1ccc(Br)cc1)NC[C@@H]1CCCO1
-6.0,C[C@@H]1CCCN(C(=O)Cc2ccc(Cl)cc2)C1
-5.1,CC(C)CC(=O)Nc1ccc(Cl)cn1
-5.5,O=C(Cc1cccs1)Nc1ccccc1F
-5.9,C[C@H](Oc1ccccc1)C(=O)Nc1ccccc1
-5.0,CCC[C@@H](C)C(=O)Nc1cc(C)ccn1
-6.0,CCOC(=O)c1ccc(NC(=O)[C@@H](C)Oc2ccccc2)cc1
-5.7,CC[C@H](C(=O)N1CCCC1)c1ccccc1
-5.7,C[C@@H](Oc1ccccc1)C(=O)Nc1ccc(F)cc1
-6.0,COc1ccc(Cl)cc1NC(=O)[C@@H](C)Oc1ccccc1
-5.2,COc1ccc(CNC(=O)Cc2cccs2)cc1
-5.9,CC[C@@H](C(=O)N1CCc2ccccc12)c1ccccc1
-5.6,CC[C@@H](C)C(=O)NCc1ccc(C)cc1
-5.9,CCC[C@H](C)C(=O)NCc1ccc(C)cc1
-5.5,C[C@@H]1CN(C(=O)Cc2ccc(Cl)cc2)C[C@@H](C)O1
-5.8,CC[C@H](C(=O)Nc1ccc(C(=O)OC)cc1)c1ccccc1
-5.8,CC[C@H](C(=O)NCc1ccncc1)c1ccccc1
-5.6,COc1ccccc1N1CCN(C(=O)Cc2cccs2)CC1
-4.8,CC(C)(C)CC(=O)Nc1ccc(Br)cc1F
-5.1,Cc1ccccc1NC(=O)CC(C)(C)C
-5.3,COC(=O)c1ccc(NC(=O)c2ccc(SC)cc2OC)cc1
-5.7,COC[C@H](C)NS(=O)(=O)c1c(C)cc(C)cc1C
-5.5,CCOC(=O)[C@H]1CCCN(C(=O)c2ccc(F)cc2)C1
-5.9,CCOC(=O)[C@H]1CCCN(C(=O)c2cccc(Br)c2)C1
-4.7,COC[C@@H](C)NC(=O)c1ccc(Cl)c(Cl)c1
-6.4,COc1ccc(C(=O)N2Cc3ccccc3NC2=S)cc1OC
-5.9,c1ccc(OCc2nc3ccccc3[nH]2)cc1
-6.0,CC(=O)N/C(=C/c1ccccc1)C(=O)NCc1ccco1
-5.3,O=[N+]([O-])c1ccc([C@H]2OCOC[C@H]2O)cc1
-5.5,O=C(c1ccc(Br)o1)N1CCN(c2ccccc2)CC1
-5.2,CCOC(=O)C1=C(C)NC(=O)C[C@@H]1c1ccc(Cl)cc1Cl
-5.5,CC(C)(C)c1ccc(C(=O)C[C@@H](C(=O)O)N2CCCCC2)cc1
-5.4,O=C(CSc1ncccn1)Nc1cccc(Cl)c1
-6.3,O=C(CSc1nnnn1-c1ccccc1)Nc1cccc(Cl)c1
-6.3,O=C(Oc1ccc(C2SCCS2)cc1)c1ccc([N+](=O)[O-])cc1
-5.4,O=C1CCC(=O)N1c1ccc(Cl)c(Cl)c1
-5.1,CCOc1ccc(NC(=O)CCC(=O)O)cc1
-6.3,Cc1cc(C)cc(NC(=O)CSc2nc(C)cc(C)n2)c1
-5.6,O=C(CSc1ccc(F)cc1)Nc1ccc(Cl)c(Cl)c1
-5.9,COc1cccc(C(=O)Nc2ccc(N(C)C(C)=O)cc2)c1
-5.0,CCC(CC)NC(=O)c1cccc(OC)c1
-6.5,Cc1cc(C)nc(NC(=O)Cc2ccc(Cl)cc2)n1
-5.6,CCC[C@H](C)C(=O)Nc1cccc(C(=O)OCC)c1
-6.3,O=C(O)[C@H]1CS[C@H](c2ccc(OCc3cccc(F)c3)cc2)N1
-5.7,CN(C)CCCN1C(=O)CS[C@@H]1c1cccc([N+](=O)[O-])c1
-6.3,O=C(NCCc1nc2ccccc2[nH]1)[C@H]1COc2ccccc2O1
-7.0,O=C(O)c1ccc(NC(=S)Nc2ccccc2)cc1O
-6.2,Cn1c(=O)c2cc(NC(=O)c3cccs3)c(=O)oc2n(C)c1=O
-5.7,O=C(O)CCc1ccc(c2cccs2)n1c1cccc(O)c1
-6.2,C[C@@H](c1ccccc1)[C@H](CC(=O)Nc1ccc(F)cc1)C(=O)O
-6.7,O=c1oc2ccccc2cc1C1=NO[C@@H](c2ccc3c(c2)OCO3)C1
-5.7,O=S(=O)(Nc1ccccc1Br)c1ccccc1
-5.4,COC(=O)C1=C(C)N(Cc2ccco2)C(=O)C1
-4.8,Nc1ccc(I)cc1C(=O)O
-6.4,COC(=O)c1ccc(N2C(=O)[C@@H](C)S[C@H]2c2ccccc2)cc1
-6.6,Cc1ccc(-n2c(SCC(N)=O)nc3ccccc3c2=O)cc1
-6.5,NNc1nn2c(nnc2C(F)(F)F)c2ccccc21
-6.1,Cc1nonc1NCn1cnc2c1c(=O)n(C)c(=O)n2C
-5.6,Nc1c(-c2ccccc2)nc2ccccn12
-6.2,COC(=O)C1=C(C)NC(=O)N[C@H]1c1cc(Cl)cc2c1OCOC2
-5.5,COc1ccc(S(=O)(=O)n2ccnc2)c2cccnc12
-6.1,O=C(Nc1ccccc1C(=O)N1CCCCCC1)c1ccc(F)cc1
-5.8,CCOc1cc2c(cc1OCC)[C@H]([C@H]1CC=CCC1)NCC2
-6.3,Nn1c(COc2ccc(Cl)cc2)nc2ccccc2c1=O
-6.4,CC(=O)c1c(C)nc(c2ccc(OCc3ccccc3F)cc2)n1O
-6.3,O=c1[nH]nc2nc(N3CCCCC3)nc(N3CCCCC3)n21
-6.5,O=[N+]([O-])c1ccc(-c2nnn(CNc3ccc(Cl)cc3)n2)cc1
-6.2,CC1=CC=CN2C(=NC(C(F)(F)F)(C(F)(F)F)N=C12)c1ccco1
-6.6,Cc1ccc(C(=O)CSc2nnc3sc4ccccc4n23)cc1
-7.0,O=S(=O)(c1cccc2ccccc21)n1cnc2ccccc21
-6.2,COC(=O)c1ccc2nc(NC(=O)CN3C(=O)CCC3=O)sc2c1
-6.3,COc1ccccc1N1C(=O)c2ccc(NC(C)=O)cc2C1=O
-5.9,Cc1ccc(NC(=O)[C@@H]2CC=CC[C@H]2C(=O)OC[C@@H]2CCCO2)cc1
-6.2,COC(=O)c1ccc(OCc2ccc(Cl)cc2)cc1
-6.1,COc1ccc([C@H]2NC(=O)c3ccccc3O2)cc1OC
-5.9,COc1ccc(C(=O)NCc2ccc(Cl)cc2)cc1OC
-6.1,O=C(Nc1nc(c2ccccc2)cs1)Oc1ccccc1
-6.2,CC(C)(C)[C@@]1(O)CC(C(F)(F)F)=NN1C(=O)c1ccccc1F
-5.7,CCSc1nc2ccccc2n1Cc1ccc(OC)c([N+](=O)[O-])c1
-6.1,CN(C)c1nc2nonc2nc1Nc1cccc(Cl)c1
-6.4,O=C(O)c1ccc(CSc2nnnn2C2CCCCC2)cc1
-6.9,CC(=O)c1ccc2c3c1cccc3C(=O)N(c1c(C)nn(C)c1C)C2=O
-5.0,Cc1[nH]c2ccc(I)cc2c1CCN
-5.7,COc1ccc(C)cc1Cn1cnc([N+](=O)[O-])n1
-5.8,Cc1c(C)n(C)c2c1ccc1c(=O)cc(C)[nH]c21
-6.1,CCOC(=O)c1ccc(c2nnc(c3ccccc3OC)o2)cc1
-5.4,CCOC(=O)C1=C(N)Oc2cc(O)ccc2[C@H]1C(C)C
-5.8,COC(=O)c1cc(N2CCNCC2)nc2ccccc21
-5.5,Nc1ncnc2c1ncn2[C@H]1C=C[C@H](CO)O1
-6.3,COc1ccc([C@H]2Oc3ccccc3C=C2[N+](=O)[O-])cc1O
-5.4,O=C(O)Cc1csc2nc(-c3ccccc3)cn12
-6.2,Cc1ccc(N2C(=O)CCS[C@]23c2ccccc2NC3=O)cc1
-6.3,O=C(O)CSc1nc(SCc2ccccc2)nc2ccccc12
-5.8,Nc1ncnc2[nH]c(SCc3ccccc3Cl)nc21
-6.1,Cc1ccc(NC(=O)CSc2nc3c(ncnc3N)[nH]2)cc1
-6.0,Cc1c(Cl)cccc1N1C[C@@H](C(=O)Nc2nccs2)CC1=O
-5.6,Cc1cc(C)nc(SCC(=O)Nc2ncccn2)n1
-6.2,CCN1CCN(c2ccc(Nc3ccnc4ccccc34)cc2)CC1
-5.6,Cc1cc(C)c(NC(=O)CCC(=O)O)c(Cl)c1
-5.6,O=C(O)C[C@@H]1NC(=S)N(Cc2ccccc2)C1=O
-5.8,O=C(CSc1nc2ccccc2o1)NC1=NC(=O)CS1
-5.7,O=C1CCCC[C@H]1Sc1nc2ccccc2o1
-5.8,O=C(CSC1=NCCS1)Nc1ccc(OC(F)(F)F)cc1
-5.8,O=C(CSc1nc2cc(Cl)ccc2s1)NC[C@@H]1CCCO1
-5.7,CCOC(=O)c1ccc(N2C(=O)C[C@@H]([C@@H]3CCCO3)C2=O)cc1
-6.0,CCCC(=O)N1CCN(c2cc(C)c(C(C)=O)cc2F)CC1
-6.4,CCOc1cc2c(cc1OCC)[C@H](c1cc(C)ccc1C)NCC2
-5.4,CCOc1cc2c(cc1OCC)[C@@H](c1ccccc1C)NCC2
-5.8,COc1cc2c(cc1OC)[C@@H](C)N(S(=O)(=O)c1ccccc1)CC2
-6.7,O=C(NCCc1ccccc1)c1cc2c([nH]c1=O)CCCC2
-6.2,COc1ccc([C@H]2SCC(=O)N2C[C@@H](O)c2ccccc2)cc1
-5.9,S=C(NC[C@H]1COc2ccccc2O1)NC1CCCCC1
-5.3,COC(=O)c1nnn(-c2nonc2N)c1C(C)(C)C
-6.6,Cc1ccccc1C(O)(C(=O)Nc1cccc[n+]1[O-])c1ccccc1C
-5.9,COc1ccc(C(=O)c2nc3ccccc3n2C(C)C)cc1OC
-5.5,CC1(C)C(=O)O[C@@H](c2ccc(Cl)cc2Cl)C(C)(C)C1=O
-6.0,CCOc1ccc([C@@H]2NCCc3cc(OC)c(OC)cc32)cc1
-6.4,O=c1oc2ccc([N+](=O)[O-])cc2cc1c1nc2ccccc2o1
-6.7,COc1cccc2cc(-c3ccc([N+](=O)[O-])cc3)c(=O)oc21
-6.6,Cc1ccc(N2C(=O)c3ccccc3NC2(C)C)cc1Cl
-5.2,CC(=O)c1cc(F)c(N2CCN(C)CC2)cc1C
-6.3,CC(=O)c1ccc(N2CCN(C(=O)c3cccc(F)c3)CC2)c(F)c1
-5.8,O=C1c2ccccc2N[C@H](c2ccncc2)N1c1ccccn1
-5.6,COc1ccc(-c2nn(C)c3ccccc32)cc1
-6.4,COc1ccc(/C=N/NC(=O)COc2ccccc2C(=O)O)cc1
-6.1,O=C(NCc1ccc([N+](=O)[O-])cc1)c1nc2ccccc2[nH]1
-6.4,O=C(Cc1ccccc1)Sc1nc2ccccc2[nH]1
-6.0,O=C(Nc1cccnc1)c1ccc(C(=O)Nc2cccnc2)nc1
-5.1,O=C1CCC(=O)N1OC[C@@H]1CCCN2CCCC[C@H]12
-6.5,O=C(O)c1cc(c2ccccc2Cl)nc2ccccc12
-6.2,O=C(Nc1ccc(F)c(F)c1)c1ccc2c(c1)OCO2
-5.9,Cc1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1Cl
-6.2,CCOc1ccccc1C(=O)Nc1nc2ccc(Cl)cc2s1
-5.8,CCOc1ccc(C(=O)Nc2ccc(C(C)C)cc2)cc1
-5.4,O=C(NC1CCCCCC1)c1ccc(Br)o1
-6.4,COc1ccccc1C(=O)Nc1sc2c(c1C(N)=O)CC[C@@H](C)C2
-6.2,CC[C@H](C(=O)Nc1cccc(NC(=O)C)c1)c1ccccc1
-5.9,COc1cc(C=O)ccc1OCc1ccccc1
-5.0,CCOc1cc(C=O)ccc1OC(=O)C1CC1
-5.0,COc1cc(C=O)ccc1OCCC(C)C
-5.7,Nc1nc(-c2ccc(-c3n[nH]c(N)n3)cc2)n[nH]1
-6.1,O=c1oc(c2ccncc2)nc2sc3c(c12)CCCCC3
-6.4,CC(=O)Nc1ccc(C2=N/C(=C/c3ccc(C)cc3)C(=O)O2)cc1
-6.7,Cc1ccc(C(=O)N/C(=C/c2ccccc2F)C(=O)N(C)C)cc1
-5.8,CCc1ccc(OC[C@H](O)CN2CCCC2)cc1
-5.5,CCCc1ccc(OC[C@@H](O)CN2CCCC2)cc1
-6.0,COc1ccc([C@H](C)NC(=O)c2ccc(C(C)(C)C)cc2)cc1
-5.5,O=C(Nc1cccc(Cl)c1)c1ccccc1Cl
-6.7,O=C(NCc1ccccc1F)C(c1ccccc1)c1ccccc1
-6.3,Cc1ccc(Cl)cc1NC(=O)CSc1nc2ccccc2s1
-6.9,C[C@@H](Oc1ccccc1Br)C(=O)N1CCc2ccccc12
-5.8,Cc1oc(CC(C)C)cc1C(=O)Nc1ccccc1C(=O)O
-5.7,O=C(Cn1cncc1-c1ccc([N+](=O)[O-])cc1)N1CCOCC1
-6.7,C[C@H](c1ccccc1)N1C(=O)c2ccccc2[C@]1(O)Cc1ccccc1
-5.6,CN1C(=O)C[C@H](N2CCN(C(=O)CN3CCCC3)CC2)C1=O
-6.0,COC(=O)c1ccc(CSc2nnc3n(N)cnn23)cc1
